name,reviews,stars
customermichael Ericks,"Great service  and courteous, loan made too easy",5
customer,They come thru when you need them!  Thanks Spot!,5
James Day,"The loan was a loan my mom took out The only thing good about your service if you guys were fast because she was in a pinch and need the money but there was no proper explanation of how fees will be taking out I could’ve went to New York and got a loan shark to give her a better interest-rate I understand that you guys take a high-risk I get that I’m in the financial industry but when I finance a car is the most I can finance it for is 30% and that rarely happens and the people have to have awful credit my mom didn’t have that bad of credit she thought she did but she didn’t so she rushed into getting one of your loans Not that you won’t have a mound of them but I am going to file a report with the Better Business Bureau And with the Missouri attorney generals office It is so egregious that people like you exist $10 an hour  employees loaning people money Who have no other option like I said I understand charge you some additional interest For the risk of the customers that you take on but you really don’t have a lot of risk you tie it to the bank account and most people don’t switch bank accounts so you’ve got them Held prisoner are you guys quadruple even more than that the reason warm as interest even if you charge 30% what is the max I’ve ever seen on a Automobile loan on someone with awful credit that has a credit score of the 400s my mom was a 672 Of her highest Credit bureau I know this because I just leased her a new Jeep Grand Cherokee Her score merited a tier  one. I really enjoyed the canned bs response you can say whatever you want you may send over terns and conditions,but in no way did you throughly explain the process it was quick quick so you couid get her to sign, let me ask you this when you an employee from your company called my mom, and did a welcome call or customer interview prior to her signing the contract, how much time did your associate spend going over the terms and conditions? Oh wait I don’t think anyone ever called did they? And you said you’re sorry to see you got a one star review it’s only because I couldn’t give you a negative your pond scum we’re all company I’ve already follow complaint with the attorney generals office of Missouri and I would like to find out where your corporate offices are, So I can file a complaint with the attorney general in your state  and Better Business Bureau, you take complete advantage of people in need you guys are not a business it’s legal extortion and hopefully more people will keep bringing to the proper authorities and they will bring this type of trash industry to a hault. Also the loan is paid in full what will calling do for my mom so you can tell her that you explained things too her and you are in the clear, if you were indeed a decent reputable company maybe you would suggest a remedy maybe refund her some the money that was seriously overcharged, I’m also reviewing you on several other places such as Ripp off report which reaches far more people then trust pilot.",2
Krystal,"I needed my payments to be due on certain dates. You'll bent over backwards to meet my needs. I appreciate everything, believe me. You helped when no one else would.",5
Debbie Wilson,Great service,5
customer,"Spotloan helped me when no one else would. Great customer service, and reasonable monthly payments.",5
debbie,"Spot loan was there in my time of need, they were great, Thank you",1
Onie Moore ,It's but when I was trying to get other one I can't get one,5
customer,"Easy to work with, always nice and polite, just wish the rates weren’t so high is all, but understand why.",5
Verna Camp,"Right on time, helpful and courteous staff",5
customer,U DONT PLAY GAMES EVEN UR COMPETITORS REFER U -LOT OF THEM DONT LEND ANYTHING THEY GIVE U TWENTY COMPANIES AND U GUYS ARE ALWAYS IN TOP FIVE CAUSE UR ORGANIZEDD GET IT DONE IN NO TIMEUR TERRIFICALAN MITCHELL,5
customer,"Up front, easy, works with you.",5
Yolanda Williams,Spotloan was their when I truly need a loan and I am very grateful for spotloan. KEEP UP THE EXCELLENT WORK AND EXCELLENCE CUSTOMER SERVICE AS WELL.,1
Jeannet Kasprzyk,"I have had several loans with this companyVery easy process ,great customer service",5
neely ray,Spot Loan is ALWAYS there when I am in need,2
Richard,"Very fast, just wish the payment s weren’t so close together.",4
cynthia,It was a hassle free loan. Customer service was excellent.  Thank you.,5
Tracy Pabin,Got me out of a huge jam! Affordable rates,5
Christine,"Overall, my experience was a positive one. There were times wen I was unable to make the biweekly pymt. Wen I saw tht approaching, I tried to take the lead & inform them in advance. On at least one occasion, I knew the funds were not going to cover tht particular payment. After calling & explaining why, I do'nt recall one instance whereby I was treated disrespectful. I explained the situation as best I could & frm tht, a  new payment was reestablished. Nobody ever thinks they will need to utilize the services of a payday loan; however, never say never, because u simply do'nt know. I was going through chemo for colon cancer at the time, & they were there wen I needed them. Thank you.",5
Paul Lindley,"When you need funds quick, spotloan made the funds available. My only complaint is the payback is too much and too high for repeat customers.",5
Lester Brown,This has been a great experience for me. I have never had trouble with this company. The processing was quick and easy.,5
Brandon Hicks,"Spotloan has been EXTREMELY helpful for me during these incredibly challenging times since COVID. I appreciate that the process is kept simple as well, because getting through things has been difficult enough. Thank you again for your help.",5
Bradley Johnson,"The loan process was easy.  I knew a high interest rate loan is not a thing you should do. But with no one to help me get through the month and needing to take care of my grandchildren's needs who had lost their mom, I wanted to make sure they didn't go without food and shelter.  I had a plan to pay the loan within 1 month. It took 6 weeks but I did it. That is the key to success of this type of loan.  I would say never say never. Just have a plan and hard as it may seem, stick to it. This is a loan for desperate times only and with a plan to pay back quickly.  Customer service was very pleasant.",5
Charles Gustin,Good morning 🌄,5
Larry Ragland,Spotloan has helped me two times already in my time of need. They are clear about the type of borrowing it is and how to utilize all your other options first. They are clear when the payment is due and even send reminders. Would recommend to anyone who is in an emergency.,3
David Moore,They have great customer service and loan approval application was fast and easy,5
customer,"I have used Spot loan more than a few times, their service is excellent, minimum delays and never denied",5
JOHN  KAREN SCHMIDT,Y'all have always been there for me whenever I need a little boost are in a financial bind,5
Chad Hurley,Spotlone is always there when I need them. It's easy and fast,1
juan,Was very helpful and professional. I was pleased with the quick response,5
Enrico Fouch,"Quick, easy and reliable.",5
customer,"This is an expensive form of credit so you should exhaust every other avenue before using SpitLoan. If you do need them, they are as good as it gets.",5
customer,Thank u for helping out on letting me take an opportunity in a loan from u guys. U guys have helped me out of so many debts dat I am so grateful to u. I will definitely recommend ur services to all my family and friends. Thank u again and appreciate all u have done. Mahalo.,5
customer,"Great service, easy and quick",4
Clarence Young,"Spotloan is quick to respond, clear in their terms and costs and has staffing available to answer any questions.  They were very timely in getting my loan deposited the next business day.  They have been very helpful to me when I had the need for emergency funds.",1
Billy Bennett ,Does spotloan report to the credit bureau?,5
Carmita,Spotloan is it good place to borrow money from I will always use them whenever I have to they are very quick easy inconvenience thank you,5
customer,Spotloan is my go to place when emergencies pop-up I can always count on Spotloan.,5
JOE GILMORE,Very pleased with the services rendered and the time frame to pay back the loan is not long. Also the payment amount is within budget.,4
customer,Great Company To Work With. Everyone Treated Me With Respect And Professionalism.,4
Candy Thistleton,Thanks a lot for the help! Thank God I paid for my dog emergency!,2
Loli,Thank you Spotloan!You are a GREAT resource for helping my family out of a temporary jamb.,5
customer,Spotloan was a true lifesaver with No hassle!,4
customer,I would recommend Spotloan to anyone that is looking for funds fast. Customer service reps are always very nice and were very understanding when I  went through my identity being stolen and my bank account being drained. They were willing too work with me and sympathetic to my situation.,5
customer,Really really cool,5
Noel Denson,They gave me a loan when everyone else would denied me for my poor credit score,1
customerJeanne Manns,Customer greatLoan time to get loan greatInterest too high,5
Sara Noles,"The experience was absolutely wonderful. I would strongly recommend Spotloan in your time of need. Easy application, excellent customer service, and right on time deposit in my bank account.",5
customer,Always there to help when im in a jam Great customer serviceHas always been a positive experience,5
Dianne Meredith,Use installments for weekly paydays could be helpful as another option to make payoff faster if customers desire!,5
Stephen,If your looking for a loan. This is the company to take one with.  No hidden fees. Customer service is excellent,5
Janine Beck,"Spotloan has and is the Quickest,Most Direct,Online Loan Program. They are friendly,understanding,& helpful.",5
customer,Timely respond to all issues was greatly appreciated. Interest rate is high but the need was met at an urgent time.,5
Octavia F.,Spotloan is awesome!.. there when I need that extra income when unexpected things come up..love them!,5
Nise Louis,"I'm happy 😊 with Spotloan their fast & friendly , I don't like the high interest at least it helped me .",4
Ledanna,Thanks.... I will do it again if I need to .,4
customer,"The bi weekly payment due to intrest was high, I was glad to get it paid off and was glad it was there when I needed it but I would not borrow again due to those things",5
linda,Great fast professional service! Great to do business with😃,5
customer,Overall a good experience I only wish you all would be able to loan me a larger sum of money,5
Wendy,Amazing thank you so much for helping me when in need.,5
customer,It’s great to be able to get help for Emergancy but amount you have to pay back it’s not worth it. Cost too much to borrow $800.. wouldn’t recommend to anyone.,5
Ms Barkley,They were friendly when I got the loan & it paid off like clockwork!,5
customer,"There when you need them. Quick, fast efficient. And every time you return you get a better rate.",4
Susan D Mesiano,"Very fast, reliable and convenient.I feel very safe with this company.",3
Linda Erwin,Spot loan is easy safe and always on time. I would recommend spot loan to anyone in a bind. Thanks spot loan,5
Angie,Love working with Spotloan three times when get a loan  and I paid when off on time,5
JOHN BAKOS,Well  my experience has always been good with Spot Loan.,4
MJG,Spotloan made it easy and efficient to get the short term help I needed.  No run around like I’ve had from other lenders.,1
customer,Where do I start...Everything about this company giving me a loan was amazing...Who could ask for better customer service and politeness..,4
Customer,I was late on my payment and they helped to arrange a different payday,5
customer,The application process was easy and fast. And the options for repayment is excellent,1
customer,"thanks for being able to help during these trying times, of getting bills paid",5
Rena,"I'm very happy that Spotloan took a chance on me and helped me out. The loan process was smooth and quick. I paid off my loan in a short amount of time. Spotloan is my ""go to"" when I'm short on cash. Thank you again!",5
Robert Ellis,Great Experience & will go back to them if ever in need.,5
Regina,Fast easy and no problems! Great for short term loan,5
Judith Banegas,"All was fine, I just feel the rate is too high. I have been a Great customer with no issues I would think I would get a better rate.",5
customer,Great service! I would happily borrow again if needed.,2
customer,"I have dealt with Spotloan for several years, the only thing I would change is the high interest rate, but it is such an easy process with no hassle.",3
Jean Anglade,"Spotloan is very helpful when needed, however, it would be nice if they lowered the interest rate for returning customers.",5
customer,"Spotloan is the best, you can always count on them to work with you. Keep your account in good standings and you can look forward to renewals",5
Paul,You guys are awesome at spotloan!! Never an issue. Always prompt with email responses. I will never use anyone else for my loan needs. You guys have it all!! Right down to the best customer service there is!,4
Patricia Hallett ,SPOTLOAN helped me in a time of need.  I am very grateful for them.  You can get the loan so fast unlike banks.  Thanks again! and God Bless!!!,5
Mashawna Arvai,"Spotloan was quick to help me when I needed them, I think of them as friends.",5
M Williams,Spotloan was there when I needed some cash quick. Process was very easy with fast response. Have used Spotloan before.,4
customer,Once again Spotloan pull me out of and bind. Thanks Spotloan i would recommend you to my friends&family if needed an Loan.,5
customer,"Excellent I’m customer service and understanding that life happens to us all, and being able to work with your customers",1
Rodric Lawrence,Very happy with your customer service.  Thank you.,5
Wilma Thrower,Very friendly people understanding and willing to work with you,5
T. Marshall ,Great company.straight forward,5
Steve,EASY APPROVAL AND EASY PAYOFF! THANKS SPOTLOAN 🙏,4
customer,"Great place to do business, very flexible",5
JOSE ,They immediately processed my new loan after i paid off my previous loan and after a day or two my new loan in my account already. They really did a good job as a lender.,5
customer,I thank you for help me get a loan. But you interested rates are a little bit high.,4
Cherilea,Spotloan has been very helpful. I have had numerous loans with them. Easy to work with.,4
david brown,They were great I needed to borrow some money in need of emergency.. and I got approved. Customer service was awesome I always were able to speak with a person and took care of whatever my problem was if I needed to postpone my payment they work with you with no problem what so ever..Thank you,3
Tania ,I had no problems. I received funds to complete car repairs. I would give Spotloan a 5 star rating.,5
Norman Lewellen,"Spot loan is good if you need money right away, however it works even better if you pay it back quickly as possible",5
customer,You were there when I needed you Thank you,2
customer,Thank you for your help I  will be sending you some people,5
Noah S.,I will never take out a loan with spotloan. I felt like it took forever to pay off and I felt like the loan did not help me one bit. It just put me in a deeper hole. So glad I’m finally done with spotloan.,5
Perry,Spotloan is such  great way to get out of trouble when we were strapped for cash for bills. Thank you.,3
Selina,Great!  Program was very convenient!,5
customer,my first time with Spotloan and was very satisfied great experience,5
Loris ,When I need the loan for help spotloan was there for me.,5
Timothy Tindell,"Quick, easy and doesn't cause instant bankruptcy, while paying it back",4
customer,excellent service and I have personally never had any issues. very easy to use,5
customer,"The first loan was a breeeze. When I went to get 2nd loan, I was told differently on how and when to apply. When I talked to a representative they would say it would take 7, 14 or depends on when the system updates to see that I had paid off first loan. I waited and it said I wasn’t approved for second loan and had to wait 45 days. I asked the representative why and all she could say was because the system thinks I still owe on first loan",5
Brian H.,Have used this service often the last couple years….easy but with repeat costumers I would think they would lower the rate!!!!,1
sandra ,Very helpful and informative.Would highly recommend this company,5
customer,This was a pretty good loan. It’s definitely for when you are in a tough spot since you’ll be repaying a lot more than you initially borrowed. It definitely helped me when I really needed it and I was able to reply back quickly. I received the funds the next business day.,4
Angela West,"The customer service people were helpful,honest.  The money was there when I needed it.",5
JAMES,I receive a postcard from spotloan and I thought I would give it a try Saturday hours extra $100 to catch up some things,5
Marguerite,"Fast and convenient, but expensive",4
Beverlee,Customer service is courteous and helpful. The reps were so pleasant.The process is simple and timely. You will not be disappointed!,4
Michael Barrow ,Amazing loan company! I strongly advise to make double payments however so your not paying the high interest rates !,5
customer,Always very helpful. Friendly people willing to help,5
customer,I’m just really glad that they still have human beings working in the customer service and support on the phone those are the people that make your day courteous nice and explain things to you. My only disappointment is simply some of us go this route as far as borrowing money one we have to and two to build our credit back up and sadly it’s not put out there to the bureaus that need to see it only if they don’t see it so I’m not sure this is an exact way to establish credit based upon the interest rates but I’m grateful and thankful for the chance of getting it it came out of the exact time I needed it and it’s all been paid off and I thank you,5
customer,"In a time of need in between my pay period and monthly statements, I had a death in the family and needed some cash fast and Spotloan was the answer. And no hassle with early payoff.",5
Crystal Hamilton,I can always count on Spotloans for extra cash when needed. There are reasonable payments even with the higher interest rate.. You can pay it in full anytime. Which I do,4
Maria McCullough,TRASH TRASH TRASH,5
customer,easy. good customer service.,1
Paula S,They helped me when I needed it. Good loan company.,5
GeorgeAnn Tucker,Very easy to get and very professional company,5
PAULA,The loan was fast but the amount is a little amount and expensive interest,5
customer,Simple process and good communication throughout. Thank you!,5
Vernon,they are a greatincome source when you really need help great custermer service they are also very nice to there clients,5
customer,I have used these guys more then once and the experience is great y’all worked with me better then my car people and they have at least something they can take back but point being super great personally I don’t like to carry out the full term but you are always there when I need help money wise and I am always sure to pay it back ASAP great in emergencies,5
Jas,Great to work with. Easy to set up payment,5
JOE,"They were prompt in sending funds. Other payloan companies take up to three days to receive the funds. For an repeat customer, they lowered the interest rate an small bit. It is way over 450 percent interest.",5
Mary F,Very easy application. Will use again.,5
customer,I didn’t like how at the beginning payments were aligned with paydays but after about 3 weeks payments were not scheduled near pay dates anymore so my account was always being overdrawn. I’m not sure if I would use again.,3
Shawann Hampton,Awful customer service and boarders on fraud with how high their interest rate is.,3
customer,Thank you for helping me when I needed it the most.,5
customer,When I really needed money spot loan really came through For me! Thank you Spot loan when and if I’m in need again I will consider Spot Loan.,5
Walter G. Burke  II,Spotloan has always come through in a pinch. Thanks y'all.,5
Kelly,Spotloan has always been helpful in time of need.,5
customer,"This is about the 12 loan I have made ,It’s quick and easy plus they are very friondly",5
customer,The loan was there when I needed but the interest on the loan is very ridiculous. 9,5
customer,"I spoke with rep and explained a financial hardship that i was trying to resolve. I wanted to pay off my loan to avoid future default. I requested an agreement to pay the loan at a lower amount if I paid it before the first payment due date of september 1st. Rep would not work with me at all. The amount due was 1011.65. I ended up paying $1001.65 just to have the debt paid, but I had to skip my rent payment in order to do so.",5
RONALD SMITH II,Process was so smooth and easy in a time of need! Will use again.,5
customer,"Great company no problems, Speedy service",5
Mark Drake,Spotloan is the best. Customer service is great and there payment plan are great and everything about there loans are great you should try them out.,5
Ron M.,I like using them...very easy and professional courtesy service..will continue to use them in the future,5
myjobhelper.com,"I'm a return customer to spot loan, and everytime be I have had an up front and great experience. I like the fact that they let you choose your own pay back terms.... So there are options, and your not just stuck on 1 particular payment, you do have options that best fit your budget.",5
Jeanya,Appreciate how quickly I was able to get a loan. Very helpful an an emergency situation.  Would recommend Spotloan.com to anyone.,5
customer,Nice staff kind and professional,5
Tim,"The approval process was very easy and fast and the money hits your account quickly.  Customer service is good.   However the maximum they offer is $800 from my understanding.  Also,  this is a very expensive loan.",5
customer,"Spotloan was very quick and the money was direct deposited to my account, just as they said.  It a very timely manner.",2
Brenda Rivers,I would recommend spot loan to everyone they are excellent and very polite and work with you trust me I know they have been there for me.,5
customer,Everything was great. Fast and efficient.,5
B. Collins ,Always there to help!!,5
customer,The process was easy. Payments are higher then I excepted but that’s okay.,5
customer,I don't understand how was able to get the first loan and I paid it off earl and now I'm not able to get the second loan I would like to understand what happened,5
customer,Spotloan is awesome they really helped me in a serious time of need thank you,3
KATHY HENLEY,Spotloan issued me the loan very quickly. They are a good company to borrow money. This company has flexible payments. I will take out a loan agreement with them again if I need to.,5
Customer,Great company to work with-always a pleasure!  Thanks so much!,5
customer,Loan cost and interest is very reasonable. Easy company to work with.,5
customer,Excellent service,5
Alexandra,They were a great help in my time of need.,5
customer,"Of course every payday loan company charges up the wall with their fees. I understand I took out the loan, but I was in need of an emergency asisstance. But their fees are insane. Thank you though! Customer service was great other wise 5 stars for them! Company zero stars if I can.",5
customer,Dependable and excellent customer service never disappointed and helpful,4
Frank Alexander,"Helpful, fast and great!",5
CAROL,"They will not report to the credit bureau, so I won't relend until they do.",5
Ernest Monroe Sr,Fast approval and deposit next day. The best rate out there for someone who h doesn’t have the best credit.,5
Paige Kathryn,The request for funds was quick and easy. Customer service was very friendly.,1
Tyrone Thomas,"I’ve had a few loans,and they always came through.Had a couple times when I had to skip a payment and they let me double up the next month.Awesome customer service",2
Sabrina Dunn,They gave me a small loan that I could pay off in a short amount of time. Had no problems getting the money and it was exactly what I needed,4
Cdavis,Great company to work with,5
customer,Amazing company. Great payment plan. It definitely met my needs,3
customer,Really easy company to use if you need a quick fix and cash fast had no problem applying receiving and repaying loan,5
Mario Vazquez,"Your interest rates are extremely high. I only use you for a last resort, and pay the loan off before time. My last time using you. Thanks for coming through for me though.",5
customer,"I absolutely love Spot Loan. I have been a customer for over 5+ years, never had an issue. I recommend them to all my family and friends",5
Brenda Andrews,Had no problems with Spotlian. Always professional and helpful if needed,3
Heather Chancellor,The loan was well appreciated and used wisely thank you I may borrow again in the future.,5
customer,The money was quick and the payments were perfectly spread out.,5
customer,Spot loan is always on time when I need them never had any issues as a customer you pay on what you borrow and can even save more by paying off early I wish they borrow limit was higher but over all a great source for emergency needs,4
Jeshainah B,"There was issues with my getting email with the approval etc. When I called in both representatives were polite and knowledgeable, but their tone of voice seemed bordering on rude.",5
Terri Lofton,Quick and easy … and worth it for the peace of mind!,1
PRISCILLA S COYNE,Am a repeat customer and my last loan was more expensive than last one and was the same amount as a repeat costumer I expect lower interest and the person that I talk told me that was the computer that give me that rate and can't change it,5
Customer,"Excellent service, like the monthly reminders to help remember to purt in checkbook. Would definitely use again.",5
Shonnie P,"This is my second time getting a loan from spot loan. I paid off the first loan and got a new loan right away. Thankyou, Spotloan. I’m definitely letting my family and friends know if they need a good online loan. Apply with Spotloan.Com. Have a blessed and safe weekend.",1
Cynthia Stephens,Spot loan is awesome. They are helpful in time of need when you are short on cash,5
customer,Y’all interest rates are so high!! Over all your team is great,5
Vickie Plasterer,I would highly recommend spotloan to anyone looking for a quick line on money,5
customer,"Spot loan was there when we needed them. This pandemic hit our family really hard,  just like everyone else. And when my paycheck got smaller the people at spot loan worked with us on our payments. Thank you for having our backs!",5
Ralph Gillespie ,Spotloan was great avenue for me when I applied the first time ? I paid the loan off before its time .  When I went to apply again I was turn down ! Was extremely disappointed . I did not miss a payment schedule and I paid it  off 2 months early. Little to say I was very disappointed in there decision ! When they say that return customer are there priority !,5
customer,"it is a real easy loan, as well as easy repayment plan, but one thing was,I have used them several times,This most recent  time they said my loan would be at a better rate and lower payment than the previous loan. However it was $50 higher payment for the same amount borrowed :(",5
customer,I had a great experience with Spotloan. Very easy and enjoyable to deal with. Thank you for having me as a customer,5
Dlow Brown,I was able to get the help I needed in just a matter of minutes and funds were avaliable the next business day. No prepayment penalties so instead of accruing all the interest was able to pay off in half the time.,5
Brian Allison,They answer all of my questions and was very helpful and understanding I would choose them again.Thank You,1
customer,Amazing service great customer service my loan was easy to get the terms to pay it back were fabulous definitely recommend Spot loan,5
Eva Freeman,"They do not bug you at any time, but if you need them they are there.",5
customer,Excellent company easy to deal with fast and reliable!,5
Janet Murray,I tried to apply for another loan but was denied because you said I didnt have bank info that could be verified even though I had just paid off a loan using the same bank,5
WILLIE MANNING,I have no complaints at all. Will definitely recommend.,5
Pam Schilling,"So far so good, they are fast",5
customer,Spot loan really helped me out of a bind! They were always polite and helpful when I called.,4
Lolly Nogall,Very good loan company. Rate was fair and I paid off early. Super smooth! Thank you!!,5
Penny Chester,"Always fast, courteous, professional! Many thanks to all of the SpotLoan family for their valuable service!",5
Tracy,My experience was great. I will recommend any one I do think the interest was high on the a mount I borrowed but because you were understanding regarding paying on time and your customer service was excellent I would do it again,5
customer,"This was a very easy to understand, uncomplicated and straight-forward experience.  Being in a situation when you need this type of assistance is difficult enough.  Spotloan provides the assistance quickly, privately, seamlessly.   I would encourage anyone needing financial assistance to contact this company without hesitation.",5
Linda,"Very quick process , would recommend to anyone in a pinch that would need a little financial help.  Came through for me.",5
customer,Good morning. Just wanted to but you know my experience was very helpful. I have no complaints thank you very much for your cooperation in this matter.,3
customer,Great loan. Good set up for payments when I was in a time of need. I'm very happy to have found this loan company I will never go through anyone else but spotloan,5
Courtney Miranda,"They are always there when I needed money in a hurry ,easy to work with ..",5
Beverly Hages,Always there when I need them.  Excellent service,5
Stephanie,"I'm thankful for Spotloan because they have gotten me out of a couple mishaps! There website is easy to use, and there customer service is awesome! Though, the loans are high interest, I try to pay it off as soon as possible to save money!",5
StarrFireShimmer,"Be careful,I had many loans with them all paid off now a collection company is threatening me to garnish my salary saying the I have a loan from 2015 that is not paid.Hiring a lawyer to fix this",1
customer,My loan was on time as was told the loan request form was very straight forward easy to understand and very explicit no hassle no hidden fees and the intrest was reasonable thanks again will always recommend a friend inneed,2
Debra Buskirk,Probably one of the worst companies I had to work with. It’s hard getting someone on the phone and your rates and policies suck. You took over 6x what I borrowed. I wish I wasn’t so desperate at the time. Never again. You guys should be investigated for your business tactics,5
customer Maurice brown,"Straightforward, high interest rates, but good customer service and easy to pay off early.",4
Angie,"Spotloan general help me when I was in a difficult positon with my financial. Spotloan accept me and gave me a piece of mind. Thank you Spotloan and Customer Services I Appreciate the services, support and kindness.Thank you",5
customer,"Great company easy to work with, just wish the fees weren't as expensive.",1
customer,Great! Easy and would use them again.,5
customer,They worked with me and got what was needed,5
Susan,Spot loan is on point as well as there customer service representatives awesome attitude very informative I like that just sucks you got to wait 45 days to apply if you are already have a loan in progress with them but it's ok there good to me!!!!,5
customer,This was a seamless process and was completed in just minutes!! I will definitely go to Spotloan if I need assistance again.,1
"Eldred-N Las Vegas,NV","Very fast and courteous service, easy process, spotloan has been the best place to get a loan and helped me out.",5
ken nelligan,"This is one of the best companies ever. I love the fact after a few loans, not only does your limit increase, but your interest rate drops. I will continue to use spotloan for my emergency short term needs.",5
Kevin F Jones,It was quick and easy to apply and get approved. They were there when I needed the help and I appreciate that. They really do work with you.,1
Lydia,"An excellent loan service. Customer service was available and forthcoming when I had questions. I would return, if I needed help again.",5
customer,Always an easy process. Staff always friendly.,5
Rebecca Tuckerman,From the very beginning Spotloan has been very helpful in getting me my loan. They have impeccable customer service. From the beginning of your process to the end. I highly recommend Spotloan to all of my family and friends.,5
D mcrae,"I took out a loan w spot loan on Sunday and according to their website it said i would have money in the bank on Monday morning, it was not. I don’t doubt I will get it but how soon is the question.",1
karen anderson,I have been a customer for many years and i have never have a problem with the team or anyone else thank you very much appreciate all your help in helping me,5
customer,Interest is way too high i took out your loan a few times in need but would rather suffer.,5
John Thompson,Excellent service on my many loans over the years!!,4
customer,"You were there for my immediate needs, very professional and I thank you all .",5
SANDRA IRON CLOUD,Had money right away very easy to apply nice staff thank you for all the help,5
Sonya,Great customer service. Very flexible with customer regarding their payments. Such a great group of people,5
customer,LOAN SHARKS!!!!! CUSTOMER BEWARE STAY AWAY!!!! DO NOT SIGN THE DOTTED LINE!!!!!!,5
Maria Caballero,You helped when others wouldnt so thank you,5
Joe Henderson,Spotloan is always there when I need them!!😊,5
customer,Would like lower interest rates for recurring customers,5
Brigette Bishop,These guys are a bunch of f****** liars bad credit does matter they don't care about nobody but they're f****** selves they lied to you do not use this company hope they go f****** bankrupt and their kids get cancer f*** this place,5
DANA SHORTS,I love that this company helps you quickly and no nonsense checking and verifying.  Money is there quickly.  Pay your loans on time and you got rewarded.,5
customer,Always never a problem get fast loans u always let me now in advance when payments are do interest rating is kinda high but all in all there always here to help me,1
Linda MARTIN,Everything was quick and easy. Funds were in my account within hours!,5
Eric Orgis,"I'm pretty much a regular. When I got turned down recently I was shocked. I usually pay my loan in full either before or by the due date. I texted support and to my surprise, someone got back to me quickly. She was very helpful and was willing to do what she could to accomodate me. I was very pleased with the outcome. Thank you Spotloan!",5
Temi,"Ripoff company,super high rates,found company that has rates 1/4 of this racket,STAY AWAY!!!!! RIPOFF",5
Craig,Very reliable and responsive customer service then other online loan lenders! Spotloan has always came through when I was in need of cash. Application was quick and easy and got approved in minutes! Definitely recommending spotloan to family and friends!,5
customer,I gladly appreciate the service provided when I needed the funds for my bills... Thank you again.,5
Linda Preston,All around great place to do business with.  Highly recommend if you are considering a loan to use Spotloan.,5
Crystal Ricaporte,I have been with Spotloan for a long time now and I love them,5
Steven,Highly recommend getting a loan from spotloan great customer service and great approval rates.,5
Paul,I was charged a $60 fee because my final payment was so slow to process that the funds were no longer in my account because of another bill that was autodrafted. I had tried to pay my balance in full weeks before but the website does not allow it. When I called to pay my balance with a card other than the bank card on file I was told that Spotloan can't accept any other payment method and the funds had to be withdrawn from my account. RIP OFF. I want my $60 back.,5
3 719 724 7008298,Spotloan is the best Thanks for all of your help.,5
Vickie Barrington,It was hassle free. I was able to get my needs met and pay the loan off in a timely and convent manor for me .,5
STEPHEN BOWLES,Easy process compared to other lenders,5
Tracy Redfield,I love the way it is a process and and time did the profit and the ease of repair and back back thank you for your help same thing,5
Edward,Thanks for your promptness to tending to my needs.,5
Audra Barkley Jimenez,wonderful customer service always helped when I needed it.,5
customer,I've been a customer a few times. No complaints on my end,5
customer,Spot loan helped me in a time of need. Thank you,5
customer,Excellent customer service very easy process,4
customer,"I'm very satisfied with your customer service, I had a good experience when I  need help with my loan payments thank you so much",5
customer,Excellent Service as a returning customer.  Always friendly and courteous towards me when I am on the phone or email when I have an issue...    I will return again when I need too.   Thank you very much.,5
customer,Seamless process.  Will reach out to spot loan if I ever need cash ASAP again.,5
customer,Interest rate is way too high. Think there should be some discounts for long time repeat customers.,5
customer,"User friendly online system. When I have had to speak to someone in the phone, they have provided me other helpful options.",1
King,Good company they were there when I needed them,4
customer,A great company to work with. Easy process,4
A. H.,Always there when I need them.Great customer service.,5
Alice Riley,You were very helpful when I needed it.  Thank you,5
customer,I have had nothing but good service with this company,5
Debra,Excellent.  Very easy to get when needed,5
Ana Gabriela Morales,Spotloan has always been there for me during my worst times these past few years. I thank Spotloan for always supporting me.  I have always recommended Spotloan to my friends and family.,5
Olga,"Very happy with the service, very professional, it really helped alot.",5
customer,Spotloan has come through for me twice now. The payment terms were very agreeable and didn't break my bank. Spotloan is the best option for a pay loan.,5
Sean,Thank You for helping me when I needed.,5
customer,Always there for us! Need a quick 800. Spotloan is the only go to I'll use! Thx spotloan,5
customer,I was told about spotloan by a friend of mine now I'm waiting to see if I'm going to receive my loan,5
David Githens,They were very nice very helpful very accurate all the information it was great,4
Herman Duckett,"I really appreciate Spotloan, they have come through for me a few times. The repayments were very reasonable and they also allow you to repay early without penalty. Definitely recommend if you are in a small financial crisis.",5
customer,"Easy application, quick response on approval, and customer service reps were always there when needed and very helpful!",5
Gary Grossman,The people at Spotloan were quick and efficient. They really help me out doing a tough time,5
Kevina Walton,Very easy to navigate website but payback is outrageous,5
Jessica Aristondo,Good for short term. Interest rate high,5
customer,Fast approval and always kept information updated would again get a loan from them some day.,5
customer,My experience with Spot loan is (was) the best Customer Service they  answered every concerns or questions about my loan that I asked. Getting help getting more than one loan with them was quick easy and simple. I would recommend them to all my friends.,5
Patricia,Very helpful and flexible. Thank you for your services.,5
Jacinta,Allow people to pay off sooner VS the next (upcoming) pay period. Give that option.,5
Sandy H,Horrible….they give you an end date and then the fees pile up.,5
customer,"Very fast , easy to use site.",5
Pam,Excellent service and kept abreast of status weekly,4
Laura Hamm,Absolutely terrible. Rip off loan service,5
Susan,They were helpful. They take the time to listen,2
